pair,grp,year,pf,net,n_tp,n_fs,n_b48,n_force,tp_fs_ratio,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
NZDCHF,CAND_CHF,2022,1.6425,1418614.0,113,2,0,2,56.5,1158113.0,-1197820.0,27.225515100197672,0.044364601040539825,80.87044877222729,0.10916960564283425
NZDCHF,CAND_CHF,2023,1.623,1308763.0,115,2,0,2,57.5,1036903.0,-1067430.0,55.38071065989859,0.08503374849963355,86.72081218274126,0.10106211779851947
NZDCHF,CAND_CHF,2024,3.3151,2254716.0,158,0,2,2,79.0,692920.0,-692920.0,28.40287769784114,0.040004965155249796,85.64928057553769,0.1342227937630606
NZDCHF,CAND_CHF,2025,1.5102,1230229.0,173,1,3,4,43.25,1353995.0,-1024080.0,65.07621671258029,0.08950895620037844,92.26629935720835,0.15430410297666936
NZDCHF,CAND_CHF,2026,3.1381,2268116.0,166,0,3,3,55.333333333333336,372810.0,-403410.0,11.74193548387089,0.03714993332063236,29.565591397849353,0.34179478012155884
CADCHF,CAND_CHF,2015,1.8425,2407188.0,137,3,0,3,45.666666666666664,962370.0,-962370.0,80.64097539734436,0.10037332685828752,106.95841497931706,0.11230719794344474
CADCHF,CAND_CHF,2016,1.3881,1323505.0,127,3,1,4,31.75,1275704.0,-989060.0,25.02686264571717,0.03333301830622528,68.3041054232133,0.10421677088343755
CADCHF,CAND_CHF,2017,0.6284,-737800.0,40,2,0,2,20.0,1645126.0,-1035640.0,15.863636363636134,0.021918530893195787,75.80909090908993,0.025711071830306926
CADCHF,CAND_CHF,2018,0.9893,-10297.0,33,1,0,1,33.0,958460.0,-958460.0,53.06061632238433,0.07061733380445209,69.77717575347148,0.024092515258592996
CADCHF,CAND_CHF,2019,2.0884,1042653.0,88,1,0,1,88.0,936239.0,-957950.0,27.695406929895256,0.03838216441011861,51.43110394842858,0.06744820941063112
CADCHF,CAND_CHF,2020,1.0879,197285.0,93,2,1,3,31.0,1549374.0,-993990.0,50.867009551800926,0.05957328899972288,92.67156502571783,0.0768
CADCHF,CAND_CHF,2021,2.1783,1697177.0,130,0,3,3,43.333333333333336,559470.0,-559470.0,28.205806688717132,0.03878919959243747,66.12568908489493,0.09743589743589744
CADCHF,CAND_CHF,2022,1.874,1660894.0,113,1,2,3,37.666666666666664,987190.0,-987190.0,30.972434017595674,0.04761483987427262,85.17419354838815,0.10258054175348613
CADCHF,CAND_CHF,2023,1.4045,1815728.0,258,3,3,6,43.0,1205209.0,-1016600.0,50.70153846153787,0.07301488833746898,72.11076923076857,0.2512473845163367
CADCHF,CAND_CHF,2024,0.8968,-196459.0,83,1,2,3,27.666666666666668,1251995.0,-968660.0,2.4589235127480147,0.0033393777267097884,87.47686496695106,0.06472387699243277
CADCHF,CAND_CHF,2025,1.4828,1310682.0,180,2,2,4,45.0,1005890.0,-1005890.0,63.60736196319062,0.08631224921329977,97.73006134969393,0.16532776349614395
CADCHF,CAND_CHF,2026,1.3895,792406.0,149,1,3,4,37.25,1013540.0,-1013540.0,12.664570230608309,0.04255843771575106,31.522012578617026,0.3425098319628173
EURCAD,CAND_MIXED,2015,0.548,-3206019.0,92,4,2,6,15.333333333333334,4605490.0,-1802844.0,34.996380558428065,0.04421367427568037,91.79627714581166,0.08089059746916547
EURCAD,CAND_MIXED,2016,1.5846,1281937.0,80,2,0,2,40.0,1112292.0,-1112292.0,37.26342566421714,0.047640488091142734,90.43018654607127,0.06481036965914547
EURCAD,CAND_MIXED,2017,0.3653,-2067922.0,34,3,0,3,11.333333333333334,2327053.0,-1093824.0,48.92163235825167,0.06110707632069213,80.31419284940345,0.026675237023943435
EURCAD,CAND_MIXED,2018,0.5778,-472095.0,22,1,0,1,22.0,1118232.0,-1118232.0,27.994884910486014,0.03829575828820123,71.34526854219979,0.02393189849020238
EURCAD,CAND_MIXED,2019,0.8013,-670333.0,110,3,0,3,36.666666666666664,2414656.0,-1175472.0,73.00908867600091,0.1027728830625639,83.8142962417095,0.08191455187921619
EURCAD,CAND_MIXED,2020,inf,1910154.0,64,0,0,0,64.0,0.0,0.0,52.02810482339512,0.06002220545567199,91.87466767945244,0.0464
EURCAD,CAND_MIXED,2021,1.44,1037961.0,133,1,2,3,44.333333333333336,1162836.0,-1196208.0,74.73235100066113,0.09772202046880175,93.39696503189086,0.11955128205128206
EURCAD,CAND_MIXED,2022,0.321,-1126521.0,17,1,1,2,8.5,1445730.0,-1179468.0,6.303340149965894,0.009075295410827277,83.92365371506342,0.011057692307692308
EURCAD,CAND_MIXED,2023,1.2244,439417.0,86,1,1,2,43.0,1091448.0,-1091448.0,9.168299957392566,0.01149356524860344,56.97230507030387,0.05740472744814279
