pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
EURJPY,SHORT,2018-11-27 07:00:00,2018-11-28 17:00:00,128.494,128.76293,128.76293,128.22507,0.352,-0.26893,-0.28893,SL,34
EURJPY,LONG,2018-11-29 16:00:00,2018-11-30 14:00:00,129.113,128.77684,128.77684,129.44916,0.44,-0.33616,-0.35616,SL,22
EURJPY,LONG,2018-12-12 09:00:00,2018-12-12 15:00:00,128.625,128.82822,128.42178,128.82822,0.266,0.20322,0.18322,TP,6
EURJPY,SHORT,2018-12-19 20:00:00,2018-12-20 09:00:00,127.69,128.2164,128.2164,127.1636,0.689,-0.5264,-0.5464,SL,13
EURJPY,LONG,2019-01-23 03:00:00,2019-01-24 13:00:00,124.716,124.20259,124.20259,125.22941,0.672,-0.51341,-0.53341,SL,34
EURJPY,LONG,2019-02-18 02:00:00,2019-02-20 00:00:00,125.046,125.67019,124.42181,125.67019,0.817,0.62419,0.60419,TP,46
EURJPY,LONG,2019-03-20 00:00:00,2019-03-21 03:00:00,126.691,126.23413,126.23413,127.14787,0.598,-0.45687,-0.47687,SL,27
EURJPY,SHORT,2019-03-28 01:00:00,2019-04-01 01:00:00,123.82,124.72763,124.72763,122.91237,1.188,-0.90763,-0.92763,SL,48
EURJPY,SHORT,2019-04-23 00:00:00,2019-04-23 01:00:00,125.858,125.69832,126.01768,125.69832,0.209,0.15968,0.13968,TP,1
EURJPY,SHORT,2019-05-27 08:00:00,2019-05-28 02:00:00,122.545,122.34712,122.74288,122.34712,0.259,0.19788,0.17788,TP,18
EURJPY,SHORT,2019-06-21 02:00:00,2019-06-21 12:00:00,121.064,121.71875,121.71875,120.40925,0.857,-0.65475,-0.67475,SL,10
EURJPY,SHORT,2019-07-08 06:00:00,2019-07-08 11:00:00,121.535,121.83754,121.83754,121.23246,0.396,-0.30254,-0.32254,SL,5
EURJPY,LONG,2019-07-11 16:00:00,2019-07-12 04:00:00,122.049,122.22701,121.87099,122.22701,0.233,0.17801,0.15801,TP,12
EURJPY,SHORT,2019-07-23 12:00:00,2019-07-24 07:00:00,120.78,120.398,121.162,120.398,0.5,0.382,0.362,TP,19
